接口编号,方法,旧路径,源码位置,阶段0模块,新模块,新控制器,新服务,新仓储,迁移批次,高风险类别,前端调用方,兼容结论
API-0166,DELETE,/api/features/:id,backend/server.js:12328,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,内存全量扫描,待确认,保留 DELETE /api/features/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0167,PATCH,/api/features/:id/publish,backend/server.js:12347,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,内存全量扫描,待确认,保留 PATCH /api/features/:id/publish 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0168,GET,/api/hardware,backend/server.js:12359,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,无分页、内存全量扫描,"frontend/admin-app.js:12701
frontend/admin-app.js:2860
frontend/admin-app.js:4059
frontend/admin-app.js:6969
frontend/admin-app.js:7374
frontend/app.js:1668
frontend/app.js:2308
frontend/app.js:3342
frontend/partner-app.js:2289
frontend/partner-app.js:3594
frontend/partner-app.js:5533
frontend/partner-app.js:7732",保留 GET /api/hardware 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0169,POST,/api/hardware,backend/server.js:12376,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,暂无显性高风险,"frontend/admin-app.js:12701
frontend/admin-app.js:2860
frontend/admin-app.js:4059
frontend/admin-app.js:6969
frontend/admin-app.js:7374
frontend/app.js:1668
frontend/app.js:2308
frontend/app.js:3342
frontend/partner-app.js:2289
frontend/partner-app.js:3594
frontend/partner-app.js:5533
frontend/partner-app.js:7732",保留 POST /api/hardware 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0170,PUT,/api/hardware/:id,backend/server.js:12397,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,内存全量扫描,待确认,保留 PUT /api/hardware/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0171,DELETE,/api/hardware/:id,backend/server.js:12408,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,内存全量扫描,待确认,保留 DELETE /api/hardware/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0172,PATCH,/api/hardware/:id/publish,backend/server.js:12426,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,内存全量扫描,待确认,保留 PATCH /api/hardware/:id/publish 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0173,GET,/api/packages,backend/server.js:12440,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,无分页、内存全量扫描,"frontend/admin-app.js:12700
frontend/admin-app.js:4052
frontend/admin-app.js:6970
frontend/admin-app.js:7423
frontend/app.js:2301
frontend/app.js:3341
frontend/partner-app.js:3587
frontend/partner-app.js:5532
frontend/partner-app.js:7731",保留 GET /api/packages 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0174,GET,/api/packages/:id,backend/server.js:12456,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,内存全量扫描,待确认,保留 GET /api/packages/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0175,POST,/api/packages,backend/server.js:12481,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,暂无显性高风险,"frontend/admin-app.js:12700
frontend/admin-app.js:4052
frontend/admin-app.js:6970
frontend/admin-app.js:7423
frontend/app.js:2301
frontend/app.js:3341
frontend/partner-app.js:3587
frontend/partner-app.js:5532
frontend/partner-app.js:7731",保留 POST /api/packages 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0176,PUT,/api/packages/:id,backend/server.js:12500,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,内存全量扫描,待确认,保留 PUT /api/packages/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0177,DELETE,/api/packages/:id,backend/server.js:12511,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,内存全量扫描,待确认,保留 DELETE /api/packages/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0178,PATCH,/api/packages/:id/publish,backend/server.js:12529,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,内存全量扫描,待确认,保留 PATCH /api/packages/:id/publish 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0179,GET,/api/products,backend/server.js:12543,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,无分页、内存全量扫描,"frontend/admin-app.js:771
frontend/app.js:481
frontend/partner-app.js:728",保留 GET /api/products 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0180,GET,/api/products/stats,backend/server.js:12569,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,无分页、内存全量扫描,frontend/admin-app.js:6971,保留 GET /api/products/stats 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0181,GET,/api/products/:id,backend/server.js:12597,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,无分页、内存全量扫描,待确认,保留 GET /api/products/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0182,POST,/api/products,backend/server.js:12618,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,暂无显性高风险,"frontend/admin-app.js:771
frontend/app.js:481
frontend/partner-app.js:728",保留 POST /api/products 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0183,PUT,/api/products/:id,backend/server.js:12632,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,内存全量扫描,待确认,保留 PUT /api/products/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0184,DELETE,/api/products/:id,backend/server.js:12643,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,内存全量扫描,待确认,保留 DELETE /api/products/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0185,PATCH,/api/products/:id/publish,backend/server.js:12661,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,内存全量扫描,待确认,保留 PATCH /api/products/:id/publish 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0186,POST,/api/products/batch-publish,backend/server.js:12673,产品管理,产品,产品控制器、工作量配置控制器,产品服务、产品树服务、工作量配置服务,产品仓储、产品发布仓储、工作量规则仓储,批次一,信任前端身份、内存全量扫描,待确认,保留 POST /api/products/batch-publish 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0187,GET,/api/oauth/config,backend/server.js:12855,登录认证,认证,认证控制器,单点登录适配服务、认证服务,账号仓储、会话仓储,阶段3合入后前置接入,暂无显性高风险,frontend/partner-app.js:339,保留 GET /api/oauth/config 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0188,GET,/api/oauth/authorize,backend/server.js:12865,登录认证,认证,认证控制器,单点登录适配服务、认证服务,账号仓储、会话仓储,阶段3合入后前置接入,暂无显性高风险,待确认,保留 GET /api/oauth/authorize 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0189,GET,/api/oauth/callback,backend/server.js:12892,登录认证,认证,认证控制器,单点登录适配服务、认证服务,账号仓储、会话仓储,阶段3合入后前置接入,信任前端身份,待确认,保留 GET /api/oauth/callback 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0190,GET,/api/oauth/userinfo,backend/server.js:12958,登录认证,认证,认证控制器,单点登录适配服务、认证服务,账号仓储、会话仓储,阶段3合入后前置接入,信任前端身份、内存全量扫描,待确认,保留 GET /api/oauth/userinfo 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0191,POST,/api/oauth/logout,backend/server.js:12989,登录认证,认证,认证控制器,单点登录适配服务、认证服务,账号仓储、会话仓储,阶段3合入后前置接入,内存全量扫描,待确认,保留 POST /api/oauth/logout 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0192,GET,/api/company-search,backend/server.js:13045,企业查询,开放接口,开放接口控制器、开放接口管理控制器,外部企业查询适配服务,外部调用审计仓储,批次六,信任前端身份、内存全量扫描、同步导入导出,待确认,保留 GET /api/company-search 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0193,GET,/api/export/:type,backend/server.js:14192,导入导出,导入导出,导入导出控制器,导出服务,导入任务仓储、导出文件仓储,批次六后置,信任前端身份、同步导入导出,待确认,保留 GET /api/export/:type 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0194,GET,/api/import/:type/template,backend/server.js:14262,导入导出,导入导出,导入导出控制器,导入导出服务、导入预检服务,导入任务仓储、导出文件仓储,批次六后置,同步导入导出,待确认,保留 GET /api/import/:type/template 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0195,POST,/api/import/:type/preview,backend/server.js:14377,导入导出,导入导出,导入导出控制器,导入预检服务,导入任务仓储、导出文件仓储,批次六后置,同步导入导出,待确认,保留 POST /api/import/:type/preview 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0196,POST,/api/import/:type/execute,backend/server.js:14458,导入导出,导入导出,导入导出控制器,导入任务服务,导入任务仓储、导出文件仓储,批次六后置,信任前端身份、内存全量扫描、同步导入导出、敏感字段返回,待确认,保留 POST /api/import/:type/execute 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0197,GET,/api/open/v1/${pathName},backend/server.js:16982,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,暂无显性高风险,待确认,保留 GET /api/open/v1/${pathName} 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0198,GET,/api/open/v1/${pathName}/:id,backend/server.js:16991,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,信任前端身份、内存全量扫描,待确认,保留 GET /api/open/v1/${pathName}/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0199,GET,/api/open-api/overview,backend/server.js:17182,开放接口管理,开放接口,开放接口管理控制器,开放接口客户端服务、开放接口文档服务,开放接口客户端仓储、开放接口访问日志仓储,批次六,敏感字段返回,frontend/admin-app.js:15819,保留 GET /api/open-api/overview 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0200,GET,/api/open-api/docs,backend/server.js:17209,开放接口管理,开放接口,开放接口管理控制器,开放接口客户端服务、开放接口文档服务,开放接口客户端仓储、开放接口访问日志仓储,批次六,暂无显性高风险,待确认,保留 GET /api/open-api/docs 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0201,GET,/api/open-api/docs/:id/download,backend/server.js:17213,开放接口管理,开放接口,开放接口管理控制器,开放接口客户端服务、开放接口文档服务,开放接口客户端仓储、开放接口访问日志仓储,批次六,暂无显性高风险,待确认,保留 GET /api/open-api/docs/:id/download 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0202,GET,/api/open-api/clients,backend/server.js:17229,开放接口管理,开放接口,开放接口管理控制器,开放接口客户端服务、开放接口文档服务,开放接口客户端仓储、开放接口访问日志仓储,批次六,无分页、内存全量扫描,"frontend/admin-app.js:15837
frontend/admin-app.js:15928",保留 GET /api/open-api/clients 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0203,POST,/api/open-api/clients,backend/server.js:17242,开放接口管理,开放接口,开放接口管理控制器,开放接口客户端服务、开放接口文档服务,开放接口客户端仓储、开放接口访问日志仓储,批次六,内存全量扫描、敏感字段返回,"frontend/admin-app.js:15837
frontend/admin-app.js:15928",保留 POST /api/open-api/clients 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0204,PUT,/api/open-api/clients/:id,backend/server.js:17282,开放接口管理,开放接口,开放接口管理控制器,开放接口客户端服务、开放接口文档服务,开放接口客户端仓储、开放接口访问日志仓储,批次六,内存全量扫描,待确认,保留 PUT /api/open-api/clients/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0205,POST,/api/open-api/clients/:id/reset-secret,backend/server.js:17307,开放接口管理,开放接口,开放接口管理控制器,开放接口客户端服务、开放接口文档服务,开放接口客户端仓储、开放接口访问日志仓储,批次六,内存全量扫描、敏感字段返回,待确认,保留 POST /api/open-api/clients/:id/reset-secret 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0206,GET,/api/open-api/logs,backend/server.js:17329,开放接口管理,开放接口,开放接口管理控制器,开放接口客户端服务、开放接口文档服务,开放接口客户端仓储、开放接口访问日志仓储,批次六,同步导入导出,frontend/admin-app.js:15847,保留 GET /api/open-api/logs 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0207,POST,/api/open/v1/auth/token,backend/server.js:17345,登录认证,开放接口,开放接口控制器、开放接口管理控制器,开放接口鉴权服务,开放接口客户端仓储、开放接口令牌仓储,批次六,信任前端身份、内存全量扫描、敏感字段返回,待确认,保留 POST /api/open/v1/auth/token 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0208,GET,/api/open/v1/auth/me,backend/server.js:17416,登录认证,开放接口,开放接口控制器、开放接口管理控制器,开放接口鉴权服务,开放接口客户端仓储、开放接口令牌仓储,批次六,暂无显性高风险,待确认,保留 GET /api/open/v1/auth/me 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0209,GET,/api/open/v1/meta/permission-scope,backend/server.js:17423,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,暂无显性高风险,待确认,保留 GET /api/open/v1/meta/permission-scope 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0210,GET,/api/open/v1/meta/dictionaries,backend/server.js:17427,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,暂无显性高风险,待确认,保留 GET /api/open/v1/meta/dictionaries 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0211,GET,/api/open/v1/users,backend/server.js:17431,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,信任前端身份、内存全量扫描、敏感字段返回,待确认,保留 GET /api/open/v1/users 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0212,GET,/api/open/v1/users/:id,backend/server.js:17448,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,无分页、内存全量扫描、敏感字段返回,待确认,保留 GET /api/open/v1/users/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0213,GET,/api/open/v1/partners,backend/server.js:17454,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,信任前端身份、内存全量扫描,待确认,保留 GET /api/open/v1/partners 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0214,GET,/api/open/v1/partners/:id,backend/server.js:17471,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,无分页、内存全量扫描,待确认,保留 GET /api/open/v1/partners/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0215,GET,/api/open/v1/registrations,backend/server.js:17477,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,信任前端身份、内存全量扫描,待确认,保留 GET /api/open/v1/registrations 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0216,GET,/api/open/v1/registrations/:id,backend/server.js:17493,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,无分页、内存全量扫描,待确认,保留 GET /api/open/v1/registrations/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0217,GET,/api/open/v1/opportunities,backend/server.js:17499,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,信任前端身份、内存全量扫描,待确认,保留 GET /api/open/v1/opportunities 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0218,GET,/api/open/v1/opportunities/:id,backend/server.js:17516,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,无分页、内存全量扫描,待确认,保留 GET /api/open/v1/opportunities/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0219,GET,/api/open/v1/quotes,backend/server.js:17522,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,信任前端身份、内存全量扫描,待确认,保留 GET /api/open/v1/quotes 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0220,GET,/api/open/v1/quotes/:id,backend/server.js:17538,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,无分页、内存全量扫描,待确认,保留 GET /api/open/v1/quotes/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0221,GET,/api/open/v1/orders,backend/server.js:17544,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,信任前端身份、内存全量扫描,待确认,保留 GET /api/open/v1/orders 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0222,GET,/api/open/v1/orders/:id,backend/server.js:17560,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,无分页、内存全量扫描,待确认,保留 GET /api/open/v1/orders/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0223,GET,/api/open/v1/identity/users/:userId,backend/server.js:17566,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,无分页、内存全量扫描,待确认,保留 GET /api/open/v1/identity/users/:userId 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0224,GET,/api/open/v1/diagnostics/self-check,backend/server.js:17577,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,暂无显性高风险,待确认,保留 GET /api/open/v1/diagnostics/self-check 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0225,GET,/api/open/v1/analytics/:resource/summary,backend/server.js:17581,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口统计查询服务,领域只读仓储、访问日志仓储,批次六,暂无显性高风险,待确认,保留 GET /api/open/v1/analytics/:resource/summary 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0226,GET,/api/open/v1/analytics/business-overview,backend/server.js:17608,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口统计查询服务,领域只读仓储、访问日志仓储,批次六,暂无显性高风险,待确认,保留 GET /api/open/v1/analytics/business-overview 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0227,GET,/api/open/v1/analytics/funnel,backend/server.js:17648,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口统计查询服务,领域只读仓储、访问日志仓储,批次六,暂无显性高风险,待确认,保留 GET /api/open/v1/analytics/funnel 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0228,GET,/api/open/v1/analytics/funnel/registration-opportunity-order,backend/server.js:17679,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口统计查询服务,领域只读仓储、访问日志仓储,批次六,暂无显性高风险,待确认,保留 GET /api/open/v1/analytics/funnel/registration-opportunity-order 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0229,GET,/api/open/v1/analytics/partners/profile,backend/server.js:17710,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口统计查询服务,领域只读仓储、访问日志仓储,批次六,无分页,待确认,保留 GET /api/open/v1/analytics/partners/profile 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0230,GET,/api/open/v1/analytics/technical-service-providers/profile,backend/server.js:17718,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口统计查询服务,领域只读仓储、访问日志仓储,批次六,暂无显性高风险,待确认,保留 GET /api/open/v1/analytics/technical-service-providers/profile 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0231,GET,/api/open/v1/analytics/tech-service-providers/profile,backend/server.js:17718,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口统计查询服务,领域只读仓储、访问日志仓储,批次六,暂无显性高风险,待确认,保留 GET /api/open/v1/analytics/tech-service-providers/profile 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0232,GET,/api/open/v1/analytics/partners/contribution,backend/server.js:17734,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口统计查询服务,领域只读仓储、访问日志仓储,批次六,暂无显性高风险,待确认,保留 GET /api/open/v1/analytics/partners/contribution 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0233,GET,/api/open/v1/analytics/technical-service-providers/contribution,backend/server.js:17753,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口统计查询服务,领域只读仓储、访问日志仓储,批次六,暂无显性高风险,待确认,保留 GET /api/open/v1/analytics/technical-service-providers/contribution 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0234,GET,/api/open/v1/analytics/tech-service-providers/contribution,backend/server.js:17753,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口统计查询服务,领域只读仓储、访问日志仓储,批次六,暂无显性高风险,待确认,保留 GET /api/open/v1/analytics/tech-service-providers/contribution 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0235,GET,/api/open/v1/analytics/regions/contribution,backend/server.js:17777,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口统计查询服务,领域只读仓储、访问日志仓储,批次六,信任前端身份,待确认,保留 GET /api/open/v1/analytics/regions/contribution 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0236,GET,/api/open/v1/analytics/owners/contribution,backend/server.js:17796,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口统计查询服务,领域只读仓储、访问日志仓储,批次六,信任前端身份、内存全量扫描,待确认,保留 GET /api/open/v1/analytics/owners/contribution 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0237,GET,/api/open/v1/categories,backend/server.js:17836,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,内存全量扫描,待确认,保留 GET /api/open/v1/categories 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0238,GET,/api/open/v1/categories/:id,backend/server.js:17846,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,内存全量扫描,待确认,保留 GET /api/open/v1/categories/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0239,GET,/api/open/v1/modules,backend/server.js:17852,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,内存全量扫描,待确认,保留 GET /api/open/v1/modules 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0240,GET,/api/open/v1/modules/:id,backend/server.js:17864,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,内存全量扫描,待确认,保留 GET /api/open/v1/modules/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0241,GET,/api/open/v1/features,backend/server.js:17870,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,内存全量扫描,待确认,保留 GET /api/open/v1/features 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0242,GET,/api/open/v1/features/:id,backend/server.js:17882,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,内存全量扫描,待确认,保留 GET /api/open/v1/features/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0243,GET,/api/open/v1/hardware,backend/server.js:17888,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,内存全量扫描,待确认,保留 GET /api/open/v1/hardware 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0244,GET,/api/open/v1/hardware/:id,backend/server.js:17898,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,内存全量扫描,待确认,保留 GET /api/open/v1/hardware/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0245,GET,/api/open/v1/packages,backend/server.js:17904,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,内存全量扫描,待确认,保留 GET /api/open/v1/packages 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0246,GET,/api/open/v1/packages/:id,backend/server.js:17914,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,内存全量扫描,待确认,保留 GET /api/open/v1/packages/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0247,GET,/api/open/v1/products,backend/server.js:17920,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,内存全量扫描,待确认,保留 GET /api/open/v1/products 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0248,GET,/api/open/v1/products/:id,backend/server.js:17930,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,无分页、内存全量扫描,待确认,保留 GET /api/open/v1/products/:id 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0249,GET,/api/open/v1/product-tree,backend/server.js:17986,开放接口,开放接口,开放接口控制器、开放接口管理控制器,开放接口资源查询服务（调用对应领域服务）,开放接口访问日志仓储、对应领域仓储,批次六,暂无显性高风险,待确认,保留 GET /api/open/v1/product-tree 旧路径，兼容层映射请求、响应和错误后调用新服务。
